question_id	domain	question_text_english	gold_standard_answer	answer_format_regex	gold_standard_reasoning
LR_MATH_039	Procedural Reasoning	A farmer plants 5 rows of trees. Each row has 12 apple trees and 8 pear trees. How many trees did he plant in total?	100	\b100\b	Step 1: Calculate the number of trees per row. 12 apple trees + 8 pear trees = 20 trees per row. Step 2: Calculate the total number of trees. 5 rows * 20 trees/row = 100 trees.
LR_MATH_040	Procedural Reasoning	A box of cereal costs £3. If a family eats 2 boxes a week, how much will they spend on cereal in a year (52 weeks)?	312	\b312\b|£312	Step 1: Calculate the weekly cost. £3/box * 2 boxes = £6 per week. Step 2: Calculate the annual cost. £6/week * 52 weeks = £312.
LR_MATH_041	Procedural Reasoning	What is 25% of 300?	75	\b75\b	Step 1: Convert the percentage to a decimal. 25% = 0.25. Step 2: Multiply the number by the decimal. 300 * 0.25 = 75.
LR_MATH_042	Procedural Reasoning	A map has a scale of 1:50,000. If two towns are 4 cm apart on the map, what is the real distance between them in kilometres?	2	\b2\b	Step 1: Calculate the real distance in cm. 4 cm * 50,000 = 200,000 cm. Step 2: Convert cm to metres. 200,000 cm / 100 cm/m = 2,000 m. Step 3: Convert metres to kilometres. 2,000 m / 1000 m/km = 2 km.
LR_MATH_043	Procedural Reasoning	A train has 8 carriages, and each carriage has 64 seats. If 450 people are on the train, how many empty seats are there?	62	\b62\b	Step 1: Calculate the total number of seats. 8 carriages * 64 seats/carriage = 512 seats. Step 2: Calculate the number of empty seats. 512 total seats - 450 people = 62 empty seats.
LR_MATH_044	Procedural Reasoning	A cube has a side length of 5 cm. What is its volume?	125	\b125\b	Step 1: The volume of a cube is side length cubed (V = s^3). Step 2: Calculate the volume. 5 * 5 * 5 = 125 cubic cm.
LR_MATH_045	Procedural Reasoning	A pizza is cut into 8 equal slices. If Mark eats 3 slices, what fraction of the pizza is left?	5/8	5/8	Step 1: The whole pizza is 8/8. Step 2: Subtract the eaten portion from the whole. 8/8 - 3/8 = 5/8. So, 5/8 of the pizza is left.
LR_MATH_046	Procedural Reasoning	A phone call costs 15 pence per minute. How much does a 12-minute call cost in pounds?	1.80	1\\.80|1\\.8|£1\\.80	Step 1: Calculate the total cost in pence. 15 pence/minute * 12 minutes = 180 pence. Step 2: Convert pence to pounds. 180 pence / 100 pence/£ = £1.80.
LR_MATH_047	Procedural Reasoning	A swimming pool is 25 metres long, 10 metres wide, and 2 metres deep. What is the volume of the pool in cubic metres?	500	\b500\b	Step 1: Use the formula for the volume of a rectangular prism: V = length * width * depth. Step 2: Substitute the values. V = 25 * 10 * 2. Step 3: Calculate the result. V = 500 cubic metres.
LR_MATH_048	Procedural Reasoning	If you save £50 a week, how many weeks will it take to save £1,200?	24	\b24\b	Step 1: Use the formula Time = Total Amount / Rate. Step 2: Substitute the values. Time = £1200 / £50 per week. Step 3: Calculate the result. 24 weeks.
LR_MATH_049	Procedural Reasoning	A circle has a radius of 7 cm. What is its area? (Use pi ≈ 3.14)	153.86	153\\.86	Step 1: Use the formula for the area of a circle: A = pi * r^2. Step 2: Substitute the values. A = 3.14 * (7^2). Step 3: Calculate the result. A = 3.14 * 49 = 153.86 square cm.
LR_MATH_050	Procedural Reasoning	A test has 50 questions. For every correct answer, you get 2 points. For every incorrect answer, you lose 1 point. If a student answers all questions and gets 35 correct, what is their final score?	55	\b55\b	Step 1: Calculate points from correct answers. 35 correct * 2 points/correct = 70 points. Step 2: Calculate the number of incorrect answers. 50 total - 35 correct = 15 incorrect. Step 3: Calculate points lost from incorrect answers. 15 incorrect * -1 point/incorrect = -15 points. Step 4: Calculate the final score. 70 - 15 = 55 points.
LR_MATH_051	Procedural Reasoning	A car's price is reduced from £25,000 to £22,000. What is the percentage discount?	12	12|12%	Step 1: Calculate the discount amount. £25,000 - £22,000 = £3,000. Step 2: Calculate the percentage discount. (£3,000 / £25,000) * 100 = 12%.
LR_MATH_052	Procedural Reasoning	The sum of two numbers is 30, and their difference is 6. What are the two numbers?	18 and 12	18 and 12|12 and 18	Step 1: Let the numbers be x and y. x + y = 30 and x - y = 6. Step 2: Add the two equations. 2x = 36, so x = 18. Step 3: Substitute x back into the first equation. 18 + y = 30, so y = 12. The numbers are 18 and 12.
LR_MATH_053	Procedural Reasoning	If it takes 3 painters 4 days to paint a house, how many days would it take 2 painters?	6	\b6\b	Step 1: Calculate the total painter-days required. 3 painters * 4 days = 12 painter-days. Step 2: Calculate the time for the new team. 12 painter-days / 2 painters = 6 days.
LR_MATH_054	Procedural Reasoning	A bag contains 20 apples. 1/4 are green and the rest are red. How many red apples are there?	15	\b15\b	Step 1: Calculate the number of green apples. 20 apples * (1/4) = 5 green apples. Step 2: Calculate the number of red apples. 20 total apples - 5 green apples = 15 red apples.
LR_MATH_055	Procedural Reasoning	A plant grows 2 cm every week. If it is 10 cm tall now, how tall will it be in 6 weeks?	22	\b22\b	Step 1: Calculate the total growth. 2 cm/week * 6 weeks = 12 cm. Step 2: Add the growth to the current height. 10 cm + 12 cm = 22 cm.
LR_MATH_056	Procedural Reasoning	A rectangle has a perimeter of 30 cm. If its length is 10 cm, what is its width?	5	\b5\b	Step 1: The formula for perimeter is P = 2l + 2w. We know P=30 and l=10. Step 2: Substitute the values. 30 = 2*10 + 2w. Step 3: Solve for w. 30 = 20 + 2w. 10 = 2w. w = 5 cm.
LR_MATH_057	Procedural Reasoning	What is the next number in the sequence: 3, 7, 11, 15, ...?	19	\b19\b	Step 1: Identify the pattern in the sequence. The difference between consecutive numbers is 4 (7-3=4, 11-7=4). Step 2: Add 4 to the last number to find the next one. 15 + 4 = 19.
LR_MATH_058	Procedural Reasoning	A meeting is scheduled for 1.5 hours. If it starts 15 minutes late, and finishes on time, how long was the actual meeting in minutes?	75	\b75\b	Step 1: Convert the scheduled time to minutes. 1.5 hours * 60 minutes/hour = 90 minutes. Step 2: Subtract the delay from the scheduled time. 90 minutes - 15 minutes = 75 minutes.
LR_MATH_059	Procedural Reasoning	A cake requires 200g of sugar for every 500g of flour. If you use 1 kg of flour, how much sugar do you need?	400	\b400\b	Step 1: Convert 1 kg of flour to grams. 1 kg = 1000g. Step 2: Find the ratio multiplier. 1000g / 500g = 2. Step 3: Multiply the sugar amount by the multiplier. 200g * 2 = 400g.
LR_MATH_060	Procedural Reasoning	A store sells T-shirts for £15 each. If you buy 3, you get a 10% discount on the total. How much do you pay for 3 T-shirts?	40.50	40\\.50|40\\.5|£40\\.50	Step 1: Calculate the full price for 3 T-shirts. 3 * £15 = £45. Step 2: Calculate the discount amount. £45 * 10% = £4.50. Step 3: Subtract the discount from the full price. £45 - £4.50 = £40.50.
LR_MATH_061	Procedural Reasoning	How many sides does a hexagon have?	6	\b6\b	A hexagon is a polygon with six sides and six angles. The name is derived from the Greek words 'hex' meaning six and 'gonia' meaning corner or angle.
LR_MATH_062	Procedural Reasoning	A flight departs at 09:00 and arrives at 14:30. How long is the flight in hours and minutes?	5 hours and 30 minutes	5 hours and 30 minutes	Step 1: Subtract the departure hour from the arrival hour. 14 - 9 = 5 hours. Step 2: Subtract the departure minutes from the arrival minutes. 30 - 0 = 30 minutes. Step 3: Combine the results. The duration is 5 hours and 30 minutes.
LR_MATH_063	Procedural Reasoning	There are 52 cards in a standard deck. What is the probability of drawing a King?	1/13	1/13	Step 1: A standard deck has 4 Kings. Step 2: The total number of cards is 52. Step 3: The probability is the number of Kings divided by the total number of cards, which is 4/52. Step 4: Simplify the fraction. 4/52 = 1/13.
LR_MATH_064	Procedural Reasoning	A school trip has 3 buses, each carrying 45 pupils. If there are 10 teachers on the trip in total, how many people are on the trip?	145	\b145\b	Step 1: Calculate the total number of pupils. 3 buses * 45 pupils/bus = 135 pupils. Step 2: Add the number of teachers. 135 pupils + 10 teachers = 145 people.
LR_MATH_065	Procedural Reasoning	A garden is in the shape of a right-angled triangle with base 10m and height 6m. What is the area?	30	\b30\b	Step 1: The formula for the area of a triangle is A = (1/2) * base * height. Step 2: Substitute the values. A = (1/2) * 10 * 6. Step 3: Calculate the result. A = 30 square metres.
LR_MATH_066	Procedural Reasoning	A company has 1,500 employees. 40% work in sales. How many employees do not work in sales?	900	\b900\b	Step 1: The percentage of employees not in sales is 100% - 40% = 60%. Step 2: Calculate the number of employees not in sales. 1500 * 60% = 900 employees.
LR_MATH_067	Procedural Reasoning	A barrel contains 120 litres of water. If 1/3 is used for gardening and 1/4 of the remainder is used for cleaning, how much water is left in litres?	60	\b60\b	Step 1: Calculate water used for gardening. 120 * (1/3) = 40 litres. Step 2: Calculate remaining water. 120 - 40 = 80 litres. Step 3: Calculate water used for cleaning. 80 * (1/4) = 20 litres. Step 4: Calculate water left. 80 - 20 = 60 litres.
LR_MATH_068	Procedural Reasoning	A box of 12 pencils costs £3.00. How much would 30 pencils cost?	7.50	7\\.50|7\\.5|£7\\.50	Step 1: Find the cost of one pencil. £3.00 / 12 = £0.25 per pencil. Step 2: Calculate the cost for 30 pencils. 30 * £0.25 = £7.50.
LR_MATH_069	Procedural Reasoning	If you roll a standard six-sided die, what is the probability of rolling an even number?	0.5	0\\.5|1/2|50%	Step 1: The possible outcomes are 1, 2, 3, 4, 5, 6 (6 total outcomes). Step 2: The even number outcomes are 2, 4, 6 (3 favourable outcomes). Step 3: The probability is (Favourable Outcomes) / (Total Outcomes) = 3 / 6 = 1/2 or 0.5.
LR_MATH_070	Procedural Reasoning	A recipe for 4 people requires 600g of potatoes. How many grams of potatoes are needed for 6 people?	900	\b900\b	Step 1: Calculate potatoes needed per person. 600g / 4 people = 150g per person. Step 2: Calculate total potatoes needed for 6 people. 6 people * 150g/person = 900g.
LR_MATH_071	Procedural Reasoning	An office has 25 desks. If 60% of them are occupied, how many desks are empty?	10	\b10\b	Step 1: The percentage of empty desks is 100% - 60% = 40%. Step 2: Calculate the number of empty desks. 25 desks * 40% = 10 desks.
LR_MATH_072	Procedural Reasoning	A car's value depreciates by 20% in its first year. If it was bought for £18,000, what is its value after one year?	14400	\b14400\b|£14,400	Step 1: Calculate the depreciation amount. £18,000 * 20% = £3,600. Step 2: Subtract the depreciation from the original value. £18,000 - £3,600 = £14,400.
LR_MATH_073	Procedural Reasoning	What are the prime factors of 30?	2, 3, and 5	2, 3, and 5	Step 1: Start dividing 30 by the smallest prime number, 2. 30 / 2 = 15. So 2 is a factor. Step 2: Now divide 15 by the next smallest prime number, 3. 15 / 3 = 5. So 3 is a factor. Step 3: 5 is a prime number. So the prime factors are 2, 3, and 5.
LR_MATH_074	Procedural Reasoning	A train ticket costs £45 for a single journey. A return ticket costs £70. How much do you save by buying a return ticket instead of two singles?	20	\b20\b|£20	Step 1: Calculate the cost of two single tickets. 2 * £45 = £90. Step 2: Calculate the saving. £90 - £70 = £20.
LR_MATH_075	Procedural Reasoning	A class of 24 pupils is divided into groups of 3. How many groups are there?	8	\b8\b	Step 1: Divide the total number of pupils by the group size. 24 pupils / 3 pupils per group = 8 groups.
LR_MATH_076	Procedural Reasoning	A phone plan costs £20 per month plus 10 pence per text. How much is the bill for a month with 50 texts?	25	\b25\b|£25	Step 1: Calculate the cost of the texts. 50 texts * 10 pence/text = 500 pence. Step 2: Convert the text cost to pounds. 500 pence = £5. Step 3: Add the monthly cost. £20 + £5 = £25.
LR_MATH_077	Procedural Reasoning	A square has a perimeter of 48 cm. What is its area?	144	\b144\b	Step 1: Calculate the length of one side. A square has 4 equal sides, so 48 cm / 4 = 12 cm per side. Step 2: Calculate the area. Area = side * side = 12 cm * 12 cm = 144 square cm.
LR_MATH_078	Procedural Reasoning	The average of four numbers is 15. If three of the numbers are 10, 12, and 18, what is the fourth number?	20	\b20\b	Step 1: Calculate the total sum of the four numbers. 15 (average) * 4 (count) = 60. Step 2: Calculate the sum of the three known numbers. 10 + 12 + 18 = 40. Step 3: Find the fourth number by subtracting the sum of the three from the total sum. 60 - 40 = 20.
LR_MATH_079	Procedural Reasoning	A baker uses 50g of yeast for every 2kg of flour. What is the ratio of yeast to flour in its simplest form?	1:40	1:40	Step 1: Convert all units to be the same (grams). 2kg = 2000g. Step 2: Write the ratio. 50g : 2000g. Step 3: Simplify the ratio by dividing both sides by the greatest common divisor, which is 50. 50/50 : 2000/50 = 1:40.
LR_MATH_080	Procedural Reasoning	A tank is 3/4 full. After using 100 litres of water, it is 1/2 full. What is the total capacity of the tank in litres?	400	\b400\b	Step 1: Calculate the fraction of the tank that was used. 3/4 - 1/2 = 3/4 - 2/4 = 1/4. Step 2: We know that 1/4 of the tank's capacity is equal to 100 litres. Step 3: Calculate the total capacity. If 1/4 is 100 litres, then the full capacity (4/4) is 4 * 100 = 400 litres.
LR_MATH_081	Procedural Reasoning	What is the area of a circle with a diameter of 20 cm? (Use pi ≈ 3.14)	314	\b314\b	Step 1: Calculate the radius from the diameter. Radius = Diameter / 2 = 20 cm / 2 = 10 cm. Step 2: Use the formula for the area of a circle: A = pi * r^2. Step 3: Substitute the values. A = 3.14 * (10^2) = 3.14 * 100 = 314 square cm.
LR_MATH_082	Procedural Reasoning	If a car travels 180 miles in 3 hours, what is its average speed in miles per hour?	60	\b60\b	Step 1: Use the formula Speed = Distance / Time. Step 2: Substitute the values. Speed = 180 miles / 3 hours. Step 3: Calculate the result. 60 miles per hour.
LR_MATH_083	Procedural Reasoning	A school has 600 pupils. 55% are girls. How many boys are there?	270	\b270\b	Step 1: Calculate the percentage of boys. 100% - 55% = 45%. Step 2: Calculate the number of boys. 600 pupils * 45% = 270 boys.
LR_MATH_084	Procedural Reasoning	A bag of flour weighs 1.5 kg. If 600g is used for a recipe, how many grams of flour are left?	900	\b900\b	Step 1: Convert the initial weight to grams. 1.5 kg = 1500g. Step 2: Subtract the amount used. 1500g - 600g = 900g.
LR_MATH_085	Procedural Reasoning	A TV is priced at £800. A shop offers a choice of a £100 discount or a 15% discount. Which is the better deal and by how much?	The 15% discount is better by £20	15% discount is better by £20	Step 1: The first deal is a £100 discount. Step 2: Calculate the second discount. £800 * 15% = £120. Step 3: Compare the discounts. £120 is greater than £100. Step 4: Calculate the difference. £120 - £100 = £20. The 15% discount is better by £20.
LR_MATH_086	Procedural Reasoning	There are 25 chocolates in a box. 8 are milk chocolate, 12 are dark chocolate, and the rest are white chocolate. What percentage are white chocolate?	20	20|20%	Step 1: Calculate the number of white chocolates. 25 - 8 - 12 = 5 white chocolates. Step 2: Calculate the percentage. (5 / 25) * 100 = 20%.
LR_MATH_087	Procedural Reasoning	A jug contains 2 litres of juice. If you pour out five 250ml glasses, how much juice is left in the jug in millilitres?	750	\b750\b	Step 1: Calculate the total juice poured out. 5 glasses * 250ml/glass = 1250ml. Step 2: Convert the initial volume to millilitres. 2 litres = 2000ml. Step 3: Calculate the remaining juice. 2000ml - 1250ml = 750ml.
LR_MATH_088	Procedural Reasoning	What is the greatest common divisor of 24 and 36?	12	\b12\b	Step 1: Find the factors of 24: 1, 2, 3, 4, 6, 8, 12, 24. Step 2: Find the factors of 36: 1, 2, 3, 4, 6, 9, 12, 18, 36. Step 3: Identify the common factors: 1, 2, 3, 4, 6, 12. Step 4: The greatest of these is 12.
LR_MATH_089	Procedural Reasoning	A company's stock price was £50. It went up by 10% on Monday and then down by 10% on Tuesday. What was the final price?	49.50	49\\.50|49\\.5|£49\\.50	Step 1: Calculate the price after Monday's increase. £50 * 1.10 = £55. Step 2: Calculate the price after Tuesday's decrease. £55 * 0.90 = £49.50.
LR_MATH_090	Procedural Reasoning	The sum of the angles in a triangle is how many degrees?	180	\b180\b	The sum of the interior angles of any triangle is always 180 degrees. This is a fundamental theorem of Euclidean geometry.
LR_MATH_091	Procedural Reasoning	A box of 8 cupcakes costs £12. A box of 12 cupcakes costs £15. Which is the better value for money?	The box of 12	box of 12	Step 1: Calculate the price per cupcake for the first box. £12 / 8 = £1.50 per cupcake. Step 2: Calculate the price per cupcake for the second box. £15 / 12 = £1.25 per cupcake. Step 3: Compare the prices. £1.25 is cheaper than £1.50, so the box of 12 is better value.
LR_MATH_092	Procedural Reasoning	A train is scheduled to arrive at 17:10. It is delayed by 45 minutes. What is the new arrival time?	17:55	17:55	Step 1: Add the delay to the scheduled arrival time. 17:10 + 45 minutes. Step 2: Add the minutes. 10 + 45 = 55 minutes. The new arrival time is 17:55.
LR_MATH_093	Procedural Reasoning	A library charges a late fee of 25 pence per day. If a book is 2 weeks late, how much is the fine in pounds?	3.50	3\\.50|3\\.5|£3\\.50	Step 1: Convert the late period to days. 2 weeks * 7 days/week = 14 days. Step 2: Calculate the total fine in pence. 14 days * 25 pence/day = 350 pence. Step 3: Convert the fine to pounds. 350 pence = £3.50.
LR_MATH_094	Procedural Reasoning	What is the next prime number after 19?	23	\b23\b	A prime number is a number greater than 1 that has no positive divisors other than 1 and itself. The number 20 is divisible by 2, 21 by 3, 22 by 2. The number 23 is only divisible by 1 and 23, so it is the next prime number.
LR_MATH_095	Procedural Reasoning	A recipe needs 3 eggs to make 12 muffins. How many eggs are needed to make 20 muffins?	5	\b5\b	Step 1: Find how many muffins one egg makes. 12 muffins / 3 eggs = 4 muffins per egg. Step 2: Calculate how many eggs are needed for 20 muffins. 20 muffins / 4 muffins per egg = 5 eggs.
LR_MATH_096	Procedural Reasoning	An equilateral triangle has a perimeter of 24 cm. What is the length of one side?	8	\b8\b	An equilateral triangle has three equal sides. To find the length of one side, divide the perimeter by 3. 24 cm / 3 = 8 cm.
LR_MATH_097	Procedural Reasoning	A job is advertised with a salary of £60,000 per year. What is the monthly salary?	5000	\b5000\b|£5,000	There are 12 months in a year. To find the monthly salary, divide the annual salary by 12. £60,000 / 12 = £5,000.
LR_MATH_098	Procedural Reasoning	A bottle of water costs £0.80. A pack of 6 costs £4.50. How much cheaper is each bottle when bought in a pack?	0.05	0\\.05|5 pence|£0\\.05	Step 1: Calculate the price per bottle in the pack. £4.50 / 6 = £0.75 per bottle. Step 2: Calculate the difference in price. £0.80 - £0.75 = £0.05, or 5 pence.
LR_MATH_099	Procedural Reasoning	There are 1,000 metres in a kilometre. How many metres are there in 3.5 kilometres?	3500	\b3500\b	To convert kilometres to metres, you multiply by 1,000. 3.5 km * 1000 m/km = 3500 metres.
LR_MATH_100	Procedural Reasoning	A film rental costs £4 for 3 nights. If you keep it for a week (7 nights), and each extra night costs £1.50, what is the total cost?	10.00	10\\.00|\\b10\\b|£10	Step 1: Calculate the number of extra nights. 7 nights - 3 nights = 4 extra nights. Step 2: Calculate the cost of the extra nights. 4 * £1.50 = £6.00. Step 3: Calculate the total cost. £4.00 (initial cost) + £6.00 (extra cost) = £10.00.
LR_MATH_101	Procedural Reasoning	A garden hose fills a 200-litre water butt in 40 minutes. What is the flow rate in litres per minute?	5	\b5\b	Flow rate is volume divided by time. 200 litres / 40 minutes = 5 litres per minute.
LR_MATH_102	Procedural Reasoning	Three friends share a pizza. Tom eats 1/3, Jane eats 1/4. What fraction of the pizza is left for Chris?	5/12	5/12	Step 1: Find a common denominator for 3 and 4, which is 12. Tom eats 4/12 and Jane eats 3/12. Step 2: Calculate the total eaten. 4/12 + 3/12 = 7/12. Step 3: Subtract the eaten part from the whole (12/12). 12/12 - 7/12 = 5/12.
LR_MATH_103	Procedural Reasoning	A book costs £15. It is on sale with a 30% discount. What is the sale price?	10.50	10\\.50|10\\.5|£10\\.50	Step 1: Calculate the discount amount. £15 * 30% = £4.50. Step 2: Subtract the discount from the original price. £15 - £4.50 = £10.50.
LR_MATH_104	Procedural Reasoning	A car travels 300 kilometres on 25 litres of petrol. How many kilometres per litre does the car get?	12	\b12\b	To find the efficiency, divide the distance by the fuel used. 300 kilometres / 25 litres = 12 kilometres per litre.
LR_MATH_105	Procedural Reasoning	If an investment of £2,000 earns 5% simple interest per year, how much interest is earned in 3 years?	300	\b300\b|£300	Step 1: Calculate the interest per year. £2,000 * 5% = £100 per year. Step 2: Calculate the total interest for 3 years. £100 * 3 = £300.
LR_MATH_106	Procedural Reasoning	A room measures 4 metres by 5 metres. What is the area of the floor in square metres?	20	\b20\b	The area of a rectangle is length times width. 4 metres * 5 metres = 20 square metres.
LR_MATH_107	Procedural Reasoning	A box contains 60 sweets. 1/3 are red, 1/4 are green, and the rest are yellow. How many yellow sweets are there?	25	\b25\b	Step 1: Calculate the number of red sweets. 60 * (1/3) = 20. Step 2: Calculate the number of green sweets. 60 * (1/4) = 15. Step 3: Calculate the number of yellow sweets. 60 - 20 - 15 = 25.
LR_MATH_108	Procedural Reasoning	What is 15% of 200?	30	\b30\b	To calculate the percentage, multiply the number by the percentage as a decimal. 200 * 0.15 = 30.
LR_MATH_109	Procedural Reasoning	If you cycle at 12 km/h for 2.5 hours, how far have you cycled?	30	\b30\b	Distance is speed multiplied by time. 12 km/h * 2.5 hours = 30 km.
LR_MATH_110	Procedural Reasoning	A packet of biscuits contains 20 biscuits. A family eats 4 biscuits a day. How many days will the packet last?	5	\b5\b	To find how long it will last, divide the total number of biscuits by the number eaten per day. 20 biscuits / 4 biscuits per day = 5 days.
LR_MATH_111	Procedural Reasoning	A meal for two people costs £40. They want to leave a 10% tip. How much is the tip?	4	\b4\b|£4	To calculate the tip, multiply the cost by the percentage. £40 * 10% = £4.
LR_MATH_112	Procedural Reasoning	The temperature drops from 8 degrees Celsius to -3 degrees Celsius. How many degrees did it fall?	11	\b11\b	The total fall is the difference between the starting and ending temperatures. 8 - (-3) = 8 + 3 = 11 degrees.
LR_MATH_113	Procedural Reasoning	A work shift is 8 hours long, including a 45-minute unpaid break. How many minutes do you get paid for?	435	\b435\b	Step 1: Convert the total shift time to minutes. 8 hours * 60 minutes/hour = 480 minutes. Step 2: Subtract the unpaid break time. 480 minutes - 45 minutes = 435 minutes.
LR_MATH_114	Procedural Reasoning	A pack of 4 batteries costs £2.80. What is the cost per battery?	0.70	0\\.70|0\\.7|70p	To find the cost per battery, divide the total cost by the number of batteries. £2.80 / 4 = £0.70, or 70 pence.
LR_MATH_115	Procedural Reasoning	A square has a perimeter of 100 cm. What is its area?	625	\b625\b	Step 1: Find the length of one side. 100 cm / 4 = 25 cm. Step 2: Calculate the area. Area = side * side = 25 cm * 25 cm = 625 square cm.
LR_MATH_116	Procedural Reasoning	A recipe requires 300ml of milk. If you only have a 1-litre carton, what percentage of the milk will you use?	30	30|30%	Step 1: Convert the carton size to ml. 1 litre = 1000ml. Step 2: Calculate the percentage used. (300ml / 1000ml) * 100 = 30%.
LR_MATH_117	Procedural Reasoning	There are 7 days in a week. How many full weeks are there in a year of 365 days?	52	\b52\b	To find the number of weeks, divide the total days by 7. 365 / 7 = 52 with a remainder of 1. So there are 52 full weeks.
LR_MATH_118	Procedural Reasoning	If you score 18 out of 20 on a test, what is your score as a percentage?	90	90|90%	To find the percentage, divide your score by the total and multiply by 100. (18 / 20) * 100 = 0.9 * 100 = 90%.
LR_MATH_119	Procedural Reasoning	A bag contains only red and blue marbles. The ratio of red to blue is 3:5. If there are 15 red marbles, how many blue marbles are there?	25	\b25\b	Step 1: Find the multiplier for the ratio. 15 red marbles / 3 parts = 5. Step 2: Apply the multiplier to the blue marbles part of the ratio. 5 parts * 5 = 25 blue marbles.
LR_MATH_120	Procedural Reasoning	A train journey takes 4 hours and 15 minutes. If it arrives at 13:00, what time did it depart?	08:45	08:45|8:45 AM	Step 1: Subtract the hours from the arrival time. 13:00 - 4 hours = 09:00. Step 2: Subtract the minutes from the result. 09:00 - 15 minutes = 08:45.
LR_MATH_121	Procedural Reasoning	A piece of string is 5 metres long. You cut off 80 centimetres. How much string is left in metres?	4.2	4\\.2	Step 1: Convert centimetres to metres. 80 cm = 0.8 m. Step 2: Subtract the cut length from the total length. 5 m - 0.8 m = 4.2 metres.
LR_MATH_122	Procedural Reasoning	A company has a budget of £10,000. It spends £4,500 on salaries and £2,000 on rent. What percentage of the budget is left?	35	35|35%	Step 1: Calculate total spending. £4,500 + £2,000 = £6,500. Step 2: Calculate the remaining budget. £10,000 - £6,500 = £3,500. Step 3: Calculate the remaining percentage. (£3,500 / £10,000) * 100 = 35%.
LR_MATH_123	Procedural Reasoning	The sum of the ages of a mother and daughter is 50. The mother is 24 years older than the daughter. How old is the daughter?	13	\b13\b	Step 1: Let the daughter's age be 'd'. The mother's age is 'd + 24'. Step 2: Set up the equation. d + (d + 24) = 50. Step 3: Solve for d. 2d + 24 = 50. 2d = 26. d = 13. The daughter is 13 years old.
LR_MATH_124	Procedural Reasoning	A car park charges £2 for the first hour and £1.50 for each additional hour. How much does it cost to park for 4 hours?	6.50	6\\.50|6\\.5|£6\\.50	Step 1: The first hour costs £2. Step 2: There are 3 additional hours. Step 3: Calculate the cost of additional hours. 3 * £1.50 = £4.50. Step 4: Calculate the total cost. £2 + £4.50 = £6.50.
LR_MATH_125	Procedural Reasoning	What is the average of the numbers 10, 20, 30, and 40?	25	\b25\b	Step 1: Sum the numbers. 10 + 20 + 30 + 40 = 100. Step 2: Divide the sum by the count of the numbers. 100 / 4 = 25.
LR_MATH_126	Procedural Reasoning	A shop sells 120 newspapers a day. 65% are sold in the morning. How many newspapers are sold in the afternoon?	42	\b42\b	Step 1: Calculate the percentage sold in the afternoon. 100% - 65% = 35%. Step 2: Calculate the number of newspapers sold in the afternoon. 120 * 35% = 42.
LR_MATH_127	Procedural Reasoning	A tank can hold 5000 litres of oil. If it is 85% full, how many litres of oil are in the tank?	4250	\b4250\b	To find the amount of oil, multiply the total capacity by the percentage full. 5000 litres * 85% = 4250 litres.
LR_MATH_128	Procedural Reasoning	A runner's average speed is 8 mph. How long will it take them to run a marathon of 26 miles?	3.25 hours	3\\.25	Time equals distance divided by speed. 26 miles / 8 mph = 3.25 hours.
LR_MATH_129	Procedural Reasoning	If an item costs £40 and the price is increased by 5%, what is the new price?	42	\b42\b|£42	Step 1: Calculate the price increase. £40 * 5% = £2. Step 2: Add the increase to the original price. £40 + £2 = £42.
LR_MATH_130	Procedural Reasoning	A rectangle's length is twice its width. If the width is 6 cm, what is the area of the rectangle?	72	\b72\b	Step 1: Calculate the length. 6 cm (width) * 2 = 12 cm. Step 2: Calculate the area. Area = length * width = 12 cm * 6 cm = 72 square cm.
LR_MATH_131	Procedural Reasoning	You have a 5-litre jug and a 3-litre jug. How can you measure exactly 4 litres of water?	Fill 5L, pour into 3L, empty 3L, pour remaining 2L from 5L into 3L, fill 5L, pour from 5L to fill 3L	4 litres	1. Fill the 5-litre jug. 2. Pour from the 5L jug to fill the 3L jug. You now have 2L in the 5L jug. 3. Empty the 3L jug. 4. Pour the 2L from the 5L jug into the 3L jug. 5. Fill the 5L jug again. 6. Pour from the 5L jug to fill the 3L jug (which already has 2L in it), this will use 1L. 7. The 5L jug now contains exactly 4 litres.
LR_MATH_132	Procedural Reasoning	A cinema has 20 rows of seats. Each row has 25 seats. If 420 seats are sold for a film, how many are empty?	80	\b80\b	Step 1: Calculate the total number of seats. 20 rows * 25 seats/row = 500 seats. Step 2: Calculate the number of empty seats. 500 total seats - 420 sold seats = 80 empty seats.
LR_MATH_133	Procedural Reasoning	What is the simple interest on £500 at a rate of 4% per annum for 5 years?	100	\b100\b|£100	Simple interest is calculated as Principal * Rate * Time. £500 * 4% * 5 years = £500 * 0.04 * 5 = £100.
LR_MATH_134	Procedural Reasoning	If a dozen eggs cost £2.40, how much does one egg cost?	0.20	0\\.20|20p|£0\\.20	A dozen is 12. To find the cost of one egg, divide the total cost by 12. £2.40 / 12 = £0.20, or 20 pence.
LR_MATH_135	Procedural Reasoning	A recipe needs 150g of butter. If you are making a double batch, how many grams of butter do you need?	300	\b300\b	To make a double batch, you need twice the amount of each ingredient. 150g * 2 = 300g.
LR_MATH_136	Procedural Reasoning	The sum of the angles in a quadrilateral is how many degrees?	360	\b360\b	The sum of the interior angles of any simple quadrilateral is 360 degrees. This can be shown by dividing the quadrilateral into two triangles, each of which has angles summing to 180 degrees.
